Optimizer,Training Time (seconds),Final Train Accuracy,Final Validation Accuracy,Best Validation Accuracy,Final Validation Loss,Test Accuracy,Test Loss
SGD,146.4827218055725,0.1313111037015915,0.1462000012397766,0.1462000012397766,3.6977593898773193,0.15289999544620514,3.674651622772217
Adam,190.19481110572815,0.48339998722076416,0.3677999973297119,0.3677999973297119,2.612234592437744,0.3732999861240387,2.547184467315674
Adagrad,159.06937050819397,0.22277778387069702,0.23819999396800995,0.23819999396800995,3.213292360305786,0.23899999260902405,3.183079481124878
RMSprop,167.05426955223083,0.6294222474098206,0.367000013589859,0.38019999861717224,2.959105968475342,0.38199999928474426,2.8824687004089355
Nadam,205.46219635009766,0.5401999950408936,0.36899998784065247,0.37599998712539673,2.6462082862854004,0.3817000091075897,2.597317695617676
